场景编号,日产氨量(吨),日总成本(元),日增量成本(元),吨氨成本(元/吨),增量吨氨成本(元/吨),总用电量(MWh),新能源发电量(MWh),网购电量(MWh),上网电量(MWh),弃电量(MWh),自用新能源电量(MWh),自发自用率,绿电用电比例,上网比例,合格情况,自发自用率达标,绿电占比达标,2030绿电占比达标,上网比例达标,负荷率序列,网购功率序列(MW),上网功率序列(MW)
W1P3,72,587763.4826328767,549093.4856328767,8163.381703234399,7626.298411567733,1056.7199999999998,337.44399999999996,719.2760000000001,0.0,0.0,337.44399999999996,1.0,0.31933151639033996,0.0,全满足,是,是,否,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 20.7862 24.4578 26.252 26.0362 26.144 22.1238 15.5898 26.902 27.1042 30.022 35.0558 36.402 37.8838 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P3,63,472855.68263287673,434185.68563287676,7505.645756077409,6891.836279886933,932.22,337.44399999999996,594.7760000000001,0.0,0.0,337.44399999999996,1.0,0.36197893201175685,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 0.372622 1 1 0.624342 0.351759 1 1 1 1 0.1 0.551277 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 20.7862 24.4578 26.252 0 26.144 22.1238 0 0 27.1042 30.022 35.0558 36.402 0.5338 20.986 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P3,54,362062.81163287663,323392.81463287666,6704.866882090308,5988.755826534753,807.72,337.44399999999996,470.27599999999995,0.0,0.0,337.44399999999996,1.0,0.4177734858614371,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 0.372622 0.370024 0.466896 0.624342 0.351759 1 1 1 0.122843 0.1 0.1 0.491513 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 20.7862 24.4578 26.252 0 0 0 0 0 27.1042 30.022 35.0558 0 0.5338 2.258 18.336 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P3,45,271432.5116328767,232762.5146328767,6031.833591841704,5172.500325175038,683.22,337.44399999999996,345.77599999999995,0.0,0.0,337.44399999999996,1.0,0.4939024033254295,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 0.499128 0.410655 0.367422 0.372622 0.370024 0.466896 0.624342 0.351759 0.346887 0.71214 0.155282 0.122843 0.1 0.1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 0 0 0 0 0 0 0 18.0758 0 0 0.5338 2.258 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P3,36,188082.91553287668,149412.91853287668,5224.525431468796,4150.358848135464,558.72,337.44399999999996,253.0002,31.724200000000014,0.0,305.71979999999996,0.9059867711383222,0.5471789089347078,0.09401322886167784,全满足,是,是,是,是,1 1 1 1 1 1 1 0.1 0.410655 0.367422 0.372622 0.1 0.37161 0.624342 0.351759 0.346887 0.276578 0.155282 0.122843 0.1 0.1 0.1 0.1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 0 0 0 0 0 0 0 0 0 0 0.5338 2.258 2.0882 0.83 39.7882,0 0 0 0 0 0 0 16.5638 0 0 0 11.206 3.9544 0 0 0 0 0 0 0 0 0 0 0
W1P4,72,627256.2186328768,588586.2216328768,8711.89192545662,8174.808633789955,1056.7199999999998,272.804,783.9159999999999,0.0,0.0,272.804,1.0,0.2581611022787494,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 22.0662 27.6578 31.372 33.7162 36.384 31.0838 21.9898 33.302 32.8642 35.142 38.2558 37.682 37.8838 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P4,63,512348.4186328767,473678.42163287674,8132.514581474234,7518.705105283758,932.22,272.804,659.416,0.0,0.0,272.804,1.0,0.2926390766128167,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 1 1 0.187561 0.893778 0.250993 0.470125 0.197542 1 1 1 1 1 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 22.0662 27.6578 31.372 0 31.9758 0 0 0 32.8642 35.142 38.2558 37.682 37.8838 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P4,54,397440.6186328767,358770.62163287675,7360.011456164384,6643.900400608829,807.72,272.804,534.9159999999999,0.0,0.0,272.804,1.0,0.3377457534789283,0.0,全满足,是,是,否,是,1 1 1 1 1 1 1 1 1 1 0.187561 0.123277 0.250993 0.470125 0.197542 1 1 1 0.1 0.1 0.570501 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 22.0662 27.6578 31.372 0 0 0 0 0 32.8642 35.142 38.2558 0.332 0.5338 21.7838 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P4,45,303002.7876328767,264332.79063287674,6733.395280730594,5874.062014063928,683.22,272.804,410.416,0.0,0.0,272.804,1.0,0.3992915898246538,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 0.775658 0.333547 1 0.187561 0.123277 0.250993 0.470125 0.197542 0.208092 0.153205 1 0.1 0.1 0.1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 12.756 0 31.372 0 0 0 0 0 0 0 38.2558 0.332 0.5338 2.258 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P4,36,212372.4876328767,173702.4906328767,5899.2357675799085,4825.069184246575,558.7199999999999,272.804,285.91599999999994,0.0,0.0,272.804,1.0,0.48826603665521195,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 0.468284 0.333547 1 0.187561 0.123277 0.250993 0.470125 0.197542 0.208092 0.153205 0.1 0.1 0.1 0.1 0.1 0.107373 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 31.372 0 0 0 0 0 0 0 0.9058 0.332 0.5338 2.258 2.0882 1.136 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P1,72,420187.3116328767,381517.3146328767,5835.934883789954,5298.851592123287,1056.7199999999998,658.904,487.428,89.61199999999998,0.0,569.292,0.8639983973386108,0.5387349534408359,0.1360016026613892,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 20.7802 11.6302 3.6418 0 0 0 0 0 0 0 6.074 13.7118 26.338 39.3078 41.032 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 5.24 12.1958 13.932 15.7282 18.9182 15.714 7.8838 0 0 0 0 0 0 0 0
W2P1,63,309854.6016328768,271184.6046328768,4918.327010045663,4304.517533855187,932.22,658.904,362.92800000000005,89.61199999999998,0.0,569.292,0.8639983973386108,0.6106841732638219,0.1360016026613892,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.365349 0.1 0.1 0.434651 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 20.7802 11.6302 3.6418 0 0 0 0 0 0 0 6.074 13.7118 0 1.9578 3.682 18.1762 40.936 39.2842,0 0 0 0 0 0 0 0 0 5.24 12.1958 13.932 15.7282 18.9182 15.714 7.8838 0 0 0 0 0 0 0 0
W2P1,54,227992.16553287677,189322.16853287676,4222.077139497718,3505.966083942162,807.72,658.904,276.6322,127.8161999999999,0.0,531.0878000000001,0.8060169614997027,0.6575147328282079,0.1939830385002973,全满足,是,是,是,是,1 1 1 1 1 1 1 0.719754 0.912246 1 1 1 1 1 0.979417 0.1 0.853639 0.669595 0.365349 0.1 0.1 0.1 0.1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 20.7802 0 0 0 0 0 0 0 0 0 0 0 0 1.9578 3.682 4.2882 3.586 39.2842,0 0 0 0 0 0 0 0 0 5.24 12.1958 13.932 15.7282 18.9182 16.5682 45.2338 0 0 0 0 0 0 0 0
W2P1,45,165934.6155328768,127264.6185328768,3687.4359007305957,2828.102634063929,683.2200000000001,658.904,276.6322,252.31619999999984,0.0,406.58780000000013,0.6170668261233808,0.595105236966131,0.3829331738766191,部分满足,是,是,是,否,1 1 1 1 1 1 1 0.719754 0.912246 1 1 0.679417 0.1 0.1 0.1 0.1 0.853639 0.669595 0.365349 0.1 0.1 0.1 0.1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 20.7802 0 0 0 0 0 0 0 0 0 0 0 0 1.9578 3.682 4.2882 3.586 39.2842,0 0 0 0 0 0 0 0 0 5.24 12.1958 27.2362 53.0782 56.2682 53.064 45.2338 0 0 0 0 0 0 0 0
W2P1,36,103877.06553287673,65207.068532876736,2885.474042579909,1811.307459246576,558.72,658.904,276.6322,376.8162,0.0,282.0878,0.42811669074705877,0.5048822308132875,0.5718833092529412,部分满足,否,是,是,否,1 1 1 1 1 1 1 0.719754 0.912246 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.233055 0.669595 0.365349 0.1 0.1 0.1 0.1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 20.7802 0 0 0 0 0 0 0 0 0 0 0 0 1.9578 3.682 4.2882 3.586 39.2842,0 0 0 0 0 0 0 0 0 42.59 49.5458 51.282 53.0782 56.2682 53.064 45.2338 25.7542 0 0 0 0 0 0 0
W2P2,72,530334.7026328767,491664.7056328767,7365.7597587899545,6828.676467123288,1056.7199999999998,400.34400000000005,656.376,0.0,0.0,400.34400000000005,1.0,0.37885532591414955,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 34.0302 29.8818 22.92 15.3242 9.748 4.7518 0.2818 4.766 11.3162 20.154 28.4318 34.658 39.3078 41.032 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P2,63,415426.9026328767,376756.90563287673,6594.077819569471,5980.268343378996,932.22,400.34400000000005,531.876,0.0,0.0,400.34400000000005,1.0,0.4294522752140053,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 0.630742 0.765108 0.885499 0.99321 0.885157 1 1 1 0.164867 0.1 0.575417 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 34.0302 29.8818 22.92 0 0 0 0 0 11.3162 20.154 28.4318 0 1.9578 23.4118 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P2,54,320949.2916328768,282279.2946328768,5943.505400608829,5227.394345053274,807.72,400.34400000000005,407.3760000000001,0.0,0.0,400.34400000000005,1.0,0.49564700638835246,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 0.179995 0.279957 0.700569 0.630742 0.765108 0.885499 0.99321 0.885157 1 1 0.314896 0.164867 0.1 0.1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 0 0 10.4936 0 0 0 0 0 11.3162 20.154 0 0 1.9578 3.682 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P2,45,232117.39953287668,193447.40253287667,5158.164434063926,4298.831167397259,683.22,400.34400000000005,290.71220000000005,7.8362000000000265,0.0,392.50780000000003,0.9804263333533161,0.5744969409560611,0.019573666646683915,全满足,是,是,是,是,1 1 1 1 1 1 1 0.179995 0.279957 0.447711 0.630742 0.765108 0.885499 0.99321 0.7612 0.72732 0.514361 0.314896 0.1 0.1 0.1 0.1 0.1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 0 0 0 0 0 0 0 0 0 0 0 0 1.9578 3.682 4.2882 3.586 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.1442 0 0 0 2.692 0 0 0 0 0
W2P2,36,170059.84953287666,131389.85253287666,4723.884709246574,3649.7181259132403,558.7199999999999,400.34400000000005,290.71220000000005,132.33620000000008,0.0,268.0078,0.6694437783506183,0.47968177262313866,0.3305562216493817,部分满足,是,是,是,否,1 1 1 1 1 1 1 0.179995 0.1 0.1 0.234366 0.765108 0.1 0.99321 0.1 0.72732 0.1 0.1 0.1 0.1 0.1 0.1 0.1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 0 0 0 0 0 0 0 0 0 0 0 0 1.9578 3.682 4.2882 3.586 39.2842,0 0 0 0 0 0 0 0 7.4682 14.43 16.4496 0 32.5982 0 32.584 0 17.196 8.9182 2.692 0 0 0 0 0
W2P3,72,631468.5266328767,592798.5296328767,8770.396203234399,8233.312911567733,1056.7199999999998,234.584,822.136,0.0,0.0,234.584,1.0,0.22199258081611029,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 35.9502 37.5618 35.72 32.6042 29.588 26.5118 23.3218 25.246 29.8762 34.234 34.8318 36.578 39.3078 41.032 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P3,63,516560.7266328767,477890.7296328767,8199.376613220265,7585.567137029789,932.22,234.584,697.636,0.0,0.0,234.584,1.0,0.2516401707751389,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 1 1 0.214357 1 0.361161 0.438029 1 1 1 1 0.118602 0.867851 1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 35.9502 37.5618 35.72 0 29.588 0 0 25.246 29.8762 34.234 34.8318 0 33.8236 41.032 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P3,54,401740.7156328766,363070.71863287664,7439.6428820903075,6723.531826534752,807.7199999999998,234.584,573.136,0.0,0.0,234.584,1.0,0.2904273758233052,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 0.989152 1 0.214357 0.287036 0.361161 0.438029 0.391663 1 1 1 0.118602 0.1 0.1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 35.9502 37.1116 35.72 0 0 0 0 0 29.8762 34.234 34.8318 0 1.9578 3.682 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P3,45,311110.4156328766,272440.41863287665,6913.564791841703,6054.231525175037,683.2199999999998,234.584,448.63599999999985,0.0,0.0,234.584,1.0,0.343350604490501,0.0,全满足,是,是,否,是,1 1 1 1 1 1 1 0.13373 1 0.400246 0.214357 0.287036 0.361161 0.438029 0.391663 0.280092 0.175084 1 0.118602 0.1 0.1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 0 37.5618 10.8302 0 0 0 0 0 0 0 34.8318 0 1.9578 3.682 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P3,36,220480.1156328767,181810.1186328767,6124.4476564687975,5050.281073135464,558.72,234.584,324.136,0.0,0.0,234.584,1.0,0.41985967926689577,0.0,全满足,是,是,是,是,1 1 1 1 1 1 1 0.13373 0.1 0.939566 0.214357 0.287036 0.361161 0.438029 0.391663 0.280092 0.175084 0.16068 0.118602 0.1 0.1 0.1 0.1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 0 0.2118 33.212 0 0 0 0 0 0 0 0 0 1.9578 3.682 4.2882 3.586 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P4,72,670961.2626328768,632291.2656328768,9318.906425456622,8781.823133789956,1056.7199999999998,169.94400000000002,886.776,0.0,0.0,169.94400000000002,1.0,0.16082216670451968,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 37.2302 40.7618 40.84 40.2842 39.828 35.4718 29.7218 31.646 35.6362 39.354 38.0318 37.858 39.3078 41.032 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P4,63,556053.4626328767,517383.46563287673,8826.24543861709,8212.435962426614,932.2199999999999,169.94400000000002,762.276,0.0,0.0,169.94400000000002,1.0,0.18230031537619878,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 1 1 0.1 0.1 1 1 1 1 1 1 0.1 0.7 1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 37.2302 40.7618 40.84 2.9342 2.478 35.4718 29.7218 31.646 35.6362 39.354 38.0318 0.508 26.8578 41.032 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P4,54,441145.6626328767,402475.66563287674,8169.364122831051,7453.253067275496,807.72,169.94400000000002,637.7760000000001,0.0,0.0,169.94400000000002,1.0,0.21039964344079634,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 1 1 0.1 0.1 0.145258 0.283812 1 1 1 1 0.1 0.1 0.17093 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 37.2302 40.7618 40.84 2.9342 2.478 0 0 31.646 35.6362 39.354 38.0318 0.508 1.9578 6.6256 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P4,45,343770.3906328767,305100.39363287674,7639.342014063927,6780.008747397261,683.2199999999999,169.94400000000002,513.276,0.0,0.0,169.94400000000002,1.0,0.24873979098972518,0.0,部分满足,是,否,否,是,1 1 1 1 1 1 1 1 0.1 0.1 0.1 0.1 0.145258 0.283812 0.237446 1 0.633484 1 0.1 0.1 0.1 1 1 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 37.2302 3.4118 3.49 2.9342 2.478 0 0 0 35.6362 24.1436 38.0318 0.508 1.9578 3.682 41.6382 40.936 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P4,36,253140.09063287673,214470.09363287673,7031.669184246576,5957.5026009132425,558.72,169.94400000000002,388.77600000000007,0.0,0.0,169.94400000000002,1.0,0.3041666666666667,0.0,全满足,是,是,否,是,1 1 1 1 1 1 1 1 0.1 0.1 0.1 0.1 0.145258 0.283812 0.237446 1 0.1 0.1 0.1 0.1 0.1 0.1 0.333484 1,37.5578 34.0998 32.9198 32.186 32.7802 33.5102 34.8602 37.2302 3.4118 3.49 2.9342 2.478 0 0 0 35.6362 2.004 0.6818 0.508 1.9578 3.682 4.2882 13.2756 39.2842,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W3P1,72,380328.03313287674,341658.03613287676,5282.333793512177,4745.25050184551,1056.7199999999998,780.8399999999999,402.2482,126.36819999999997,0.0,654.4717999999999,0.8381637723477281,0.6193426830191536,0.1618362276522719,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,30.9658 29.2158 28.0318 26.77 27.5922 29.6542 16.0882 6.5102 0 0 0 0 0 0 0 0 0 7.9718 20.438 34.3838 36.132 36.8782 36.608 35.0082,0 0 0 0 0 0 0 0 2.3222 12.296 15.6638 18.94 20.5722 22.8342 17.954 14.0318 1.754 0 0 0 0 0 0 0
