场景编号,储能配置基准方法,储能配置风电装机(MW),储能配置光伏装机(MW),时刻,时间,常规负荷(MW),新能源出力(MW),产氨速率(吨/小时),制氨负荷功率(MW),储能充电功率(MW),储能放电功率(MW),荷电量(MWh),弃电功率(MW),未满足功率(MW),功率平衡残差(MW)
W1P2,原始装机最大弃电场景,40.0,64.0,20,20:00-21:00,1.8599999999999999,3.752,0.3,4.15,0.0,1.46408713413257,0.0,0.0,0.7939128658674305,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,21,21:00-22:00,1.6301999999999999,3.6919999999999997,0.3,4.15,0.0,2.220446049250313e-15,0.0,0.0,2.0881999999999983,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,22,22:00-23:00,1.56,4.88,0.3,4.15,0.0,0.0,0.0,0.0,0.8300000000000054,5.329070518200751e-15
W1P2,原始装机最大弃电场景,40.0,64.0,23,23:00-24:00,1.4802,3.1919999999999997,0.3,4.15,0.0,3.9968028886505635e-15,0.0,0.0,2.4381999999999966,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,0,0:00-1:00,1.3698000000000001,9.776,0.6076771084337349,8.4062,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,1,1:00-2:00,1.0997999999999999,10.904,0.7087373493975904,9.8042,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,2,2:00-3:00,0.7998000000000001,15.152000000000001,1.0375084337349398,14.352200000000002,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,3,3:00-4:00,0.99,13.312,0.8907469879518072,12.322,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,4,4:00-5:00,1.1802000000000001,15.072000000000001,1.0042265060240962,13.891799999999998,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15
W1P3,原始装机最大弃电场景,40.0,64.0,5,5:00-6:00,1.6301999999999999,18.724,1.2356963855421688,17.0938,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,6,6:00-7:00,2.5002,9.628,0.5152626506024096,7.1278,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16
W1P3,原始装机最大弃电场景,40.0,64.0,7,7:00-8:00,3.3701999999999996,24.084000000000003,1.4973831325301206,20.713800000000003,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,8,8:00-9:00,4.0098,21.052,1.231966265060241,17.0422,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,9,9:00-10:00,4.199999999999999,19.448,1.1022650602409638,15.248,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15
W1P3,原始装机最大弃电场景,40.0,64.0,10,10:00-11:00,4.1202,19.584,1.1178650602409637,15.463799999999997,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15
W1P3,原始装机最大弃电场景,40.0,64.0,11,11:00-12:00,3.9000000000000004,19.256,1.1100722891566264,15.355999999999998,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15
W1P3,原始装机最大弃电场景,40.0,64.0,12,12:00-13:00,3.2598000000000003,22.636000000000003,1.4006891566265063,19.376200000000004,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,13,13:00-14:00,2.6898,28.6,1.8730265060240965,25.910200000000003,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,14,14:00-15:00,3.63,18.227999999999998,1.055277108433735,14.598,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15
W1P3,原始装机最大弃电场景,40.0,64.0,15,15:00-16:00,3.8202000000000003,18.215999999999998,1.0406602409638552,14.395799999999998,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,16,16:00-17:00,3.75,15.227999999999998,0.829734939759036,11.477999999999998,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,17,17:00-18:00,3.1398,9.584,0.4658457831325302,6.444200000000001,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15
W1P3,原始装机最大弃电场景,40.0,64.0,18,18:00-19:00,2.61,7.708000000000001,0.36853012048192885,5.098000000000016,0.0,0.0,0.0,0.0,0.0,-1.509903313490213e-14
W1P3,原始装机最大弃电场景,40.0,64.0,19,19:00-20:00,2.1198,5.736,0.3,4.15,0.0,0.0,0.0,0.0,0.5338000000000139,1.2434497875801753e-14
W1P3,原始装机最大弃电场景,40.0,64.0,20,20:00-21:00,1.8599999999999999,3.752,0.3,4.15,0.0,8.881784197001252e-16,0.0,0.0,2.2579999999999996,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,21,21:00-22:00,1.6301999999999999,3.6919999999999997,0.3,4.15,0.0,0.0,0.0,0.0,2.0882000000000023,1.7763568394002505e-15
W1P3,原始装机最大弃电场景,40.0,64.0,22,22:00-23:00,1.56,4.88,0.3,4.15,0.0,0.0,0.0,0.0,0.8300000000000014,0.0
W1P3,原始装机最大弃电场景,40.0,64.0,23,23:00-24:00,1.4802,3.1919999999999997,0.3,4.15,0.0,2.220446049250313e-15,0.0,0.0,2.4381999999999984,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,0,0:00-1:00,1.3698000000000001,9.776,0.6076771084337349,8.4062,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,1,1:00-2:00,1.0997999999999999,10.904,0.7087373493975904,9.8042,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,2,2:00-3:00,0.7998000000000001,15.152000000000001,1.0375084337349398,14.352200000000002,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,3,3:00-4:00,0.99,13.312,0.8907469879518072,12.322,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,4,4:00-5:00,1.1802000000000001,15.072000000000001,1.0042265060240962,13.891799999999998,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15
W1P4,原始装机最大弃电场景,40.0,64.0,5,5:00-6:00,1.6301999999999999,18.724,1.2356963855421688,17.0938,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,6,6:00-7:00,2.5002,9.628,0.5152626506024096,7.1278,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16
W1P4,原始装机最大弃电场景,40.0,64.0,7,7:00-8:00,3.3701999999999996,22.804000000000002,1.4048530120481928,19.4338,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,8,8:00-9:00,4.0098,17.852,1.0006409638554217,13.8422,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,9,9:00-10:00,4.199999999999999,14.328000000000001,0.7321445783132531,10.128000000000002,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,10,10:00-11:00,4.1202,11.904,0.5626843373493976,7.7838,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,11,11:00-12:00,3.9000000000000004,9.016,0.36983132530120477,5.116,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,12,12:00-13:00,3.2598000000000003,13.676000000000002,0.7529783132530121,10.416200000000002,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,13,13:00-14:00,2.6898,22.2,1.4103759036144576,19.510199999999998,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,14,14:00-15:00,3.63,11.828,0.5926265060240964,8.198,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,15,15:00-16:00,3.8202000000000003,12.455999999999998,0.6242746987951805,8.635799999999998,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,16,16:00-17:00,3.75,10.107999999999999,0.45961445783132876,6.3580000000000485,0.0,0.0,0.0,0.0,0.0,-4.973799150320701e-14
W1P4,原始装机最大弃电场景,40.0,64.0,17,17:00-18:00,3.1398,6.3839999999999995,0.3,4.15,0.0,0.0,0.0,0.0,0.9058000000000411,3.9968028886505635e-14
W1P4,原始装机最大弃电场景,40.0,64.0,18,18:00-19:00,2.61,6.428000000000001,0.3,4.15,0.0,6.661338147750939e-16,0.0,0.0,0.33199999999999874,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,19,19:00-20:00,2.1198,5.736,0.3,4.15,0.0,0.0,0.0,0.0,0.5338000000000008,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,20,20:00-21:00,1.8599999999999999,3.752,0.3,4.15,0.0,0.0,0.0,0.0,2.2580000000000013,1.7763568394002505e-15
W1P4,原始装机最大弃电场景,40.0,64.0,21,21:00-22:00,1.6301999999999999,3.6919999999999997,0.3,4.15,0.0,4.440892098500626e-16,0.0,0.0,2.0882,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,22,22:00-23:00,1.56,4.88,0.3,4.15,0.0,0.0,0.0,0.0,0.8300000000000006,0.0
W1P4,原始装机最大弃电场景,40.0,64.0,23,23:00-24:00,1.4802,3.1919999999999997,0.3,4.15,0.0,0.0,0.0,0.0,2.438200000000004,3.552713678800501e-15
W2P1,原始装机最大弃电场景,40.0,64.0,0,0:00-1:00,1.3698000000000001,5.312,0.3,4.15,0.0,0.0,0.0,0.0,0.2078000000000002,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,1,1:00-2:00,1.0997999999999999,8.5,0.5349542168674698,7.400199999999999,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16
W2P1,原始装机最大弃电场景,40.0,64.0,2,2:00-3:00,0.7998000000000001,9.379999999999999,0.620255421686747,8.5802,0.0,0.0,0.0,0.0,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,3,3:00-4:00,0.99,10.304,0.6733012048192771,9.314,0.0,0.0,0.0,0.0,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,4,4:00-5:00,1.1802000000000001,9.9,0.6303469879518071,8.7198,0.0,0.0,0.0,0.0,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,5,5:00-6:00,1.6301999999999999,9.62,0.5775759036144578,7.9898,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16
W2P1,原始装机最大弃电场景,40.0,64.0,6,6:00-7:00,2.5002,23.22,1.4978168674698793,20.7198,0.0,0.0,0.0,0.0,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,7,7:00-8:00,3.3701999999999996,33.24,2.1592626506024097,29.8698,0.0,0.0,0.0,0.0,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,8,8:00-9:00,4.0098,41.867999999999995,2.73673734939759,37.8582,0.0,0.0,0.0,0.0,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,9,9:00-10:00,4.199999999999999,50.94,3.0,41.5,2.5,0.0,2.249999999999997,2.739999999999995,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,10,10:00-11:00,4.1202,57.815999999999995,3.0,41.5,2.5,0.0,4.495499999999996,9.695799999999998,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,11,11:00-12:00,3.9000000000000004,59.332,3.0,41.5,2.5,0.0,6.7365089999999945,11.432000000000002,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,12,12:00-13:00,3.2598000000000003,60.488,3.0,41.5,2.5,0.0,8.973035981999997,13.228200000000001,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,13,13:00-14:00,2.6898,63.108,3.0,41.5,0.0,0.0,8.955089910036,18.9182,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,14,14:00-15:00,3.63,60.843999999999994,3.0,41.5,0.0,1.0544838012825084,7.7655310621242535,16.7684838012825,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,15,15:00-16:00,3.8202000000000003,53.20399999999999,3.0,41.5,2.499999999999998,0.0,10.0,5.3837999999999955,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,16,16:00-17:00,3.75,39.176,2.5609156626506024,35.426,0.0,0.0,9.98,0.0,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,17,17:00-18:00,3.1398,30.928,2.0087855421686744,27.788199999999996,0.0,0.0,9.960040000000001,0.0,0.0,3.552713678800501e-15
W2P1,原始装机最大弃电场景,40.0,64.0,18,18:00-19:00,2.61,17.772,1.096048192771086,15.162000000000022,0.0,0.0,9.94011991999998,0.0,0.0,-2.3092638912203256e-14
W2P1,原始装机最大弃电场景,40.0,64.0,19,19:00-20:00,2.1198,4.312,0.3,4.15,0.0,1.9578000000000002,7.744906346826647,0.0,0.0,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,20,20:00-21:00,1.8599999999999999,2.3280000000000003,0.2999999999999999,4.149999999999999,0.0,2.5,4.951638756355216,0.0,1.1819999999999982,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,21,21:00-22:00,1.6301999999999999,1.492,0.3,4.15,0.0,2.5,2.163957701064728,0.0,1.7882000000000002,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,22,22:00-23:00,1.56,2.124,0.3,4.15,0.0,1.9436668070963383,0.0,0.0,1.642333192903662,0.0
W2P1,原始装机最大弃电场景,40.0,64.0,23,23:00-24:00,1.4802,3.6959999999999997,0.3,4.15,0.0,0.0,0.0,0.0,1.9342000000000006,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,0,0:00-1:00,1.3698000000000001,5.312,0.3,4.15,0.0,4.3826053897078054e-14,0.0,0.0,0.20779999999995638,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,1,1:00-2:00,1.0997999999999999,8.5,0.5349542168674698,7.400199999999999,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16
W2P2,原始装机最大弃电场景,40.0,64.0,2,2:00-3:00,0.7998000000000001,9.379999999999999,0.620255421686747,8.5802,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,3,3:00-4:00,0.99,10.304,0.6733012048192771,9.314,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,4,4:00-5:00,1.1802000000000001,9.9,0.6303469879518071,8.7198,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,5,5:00-6:00,1.6301999999999999,9.62,0.5775759036144578,7.9898,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16
W2P2,原始装机最大弃电场景,40.0,64.0,6,6:00-7:00,2.5002,9.14,0.47998554216867473,6.639800000000001,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,7,7:00-8:00,3.3701999999999996,10.84,0.5399855421686747,7.4698,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,8,8:00-9:00,4.0098,15.628,0.8398698795180722,11.6182,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,9,9:00-10:00,4.199999999999999,22.78,1.343132530120482,18.580000000000002,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,10,10:00-11:00,4.1202,30.296,1.8922265060240961,26.1758,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,11,11:00-12:00,3.9000000000000004,35.652,2.2953253012048194,31.752000000000002,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,12,12:00-13:00,3.2598000000000003,40.008,2.656496385542169,36.748200000000004,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,13,13:00-14:00,2.6898,43.907999999999994,2.97962891566265,41.218199999999996,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,14,14:00-15:00,3.63,40.364000000000004,2.6554698795180722,36.734,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,15,15:00-16:00,3.8202000000000003,34.004000000000005,2.181961445783133,30.183800000000005,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,16,16:00-17:00,3.75,25.096,1.5430843373493974,21.346,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,17,17:00-18:00,3.1398,16.208,0.9446891566265058,13.068199999999997,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,18,18:00-19:00,2.61,9.452,0.49460240963855046,6.841999999999948,5.2191177208701154e-14,0.0,0.0,0.0,0.0,2.1134955360623489e-16
W2P2,原始装机最大弃电场景,40.0,64.0,19,19:00-20:00,2.1198,4.312,0.3,4.15,0.0,2.220446049250313e-16,0.0,0.0,1.9578,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,20,20:00-21:00,1.8599999999999999,2.3280000000000003,0.2999999999999999,4.149999999999999,0.0,0.0,0.0,0.0,3.681999999999998,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,21,21:00-22:00,1.6301999999999999,1.492,0.3,4.15,0.0,0.0,0.0,0.0,4.2882,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,22,22:00-23:00,1.56,2.124,0.3,4.15,0.0,3.996802888650563e-16,0.0,0.0,3.586,0.0
W2P2,原始装机最大弃电场景,40.0,64.0,23,23:00-24:00,1.4802,3.6959999999999997,0.3,4.15,0.0,0.0,0.0,0.0,1.9342000000000006,0.0
W2P3,原始装机最大弃电场景,40.0,64.0,0,0:00-1:00,1.3698000000000001,5.312,0.3,4.15,0.0,0.0,0.0,0.0,0.2078000000000002,0.0
W2P3,原始装机最大弃电场景,40.0,64.0,1,1:00-2:00,1.0997999999999999,8.5,0.5349542168674698,7.400199999999999,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16
W2P3,原始装机最大弃电场景,40.0,64.0,2,2:00-3:00,0.7998000000000001,9.379999999999999,0.620255421686747,8.5802,0.0,0.0,0.0,0.0,0.0,0.0
W2P3,原始装机最大弃电场景,40.0,64.0,3,3:00-4:00,0.99,10.304,0.6733012048192771,9.314,0.0,0.0,0.0,0.0,0.0,0.0
W2P3,原始装机最大弃电场景,40.0,64.0,4,4:00-5:00,1.1802000000000001,9.9,0.6303469879518071,8.7198,0.0,0.0,0.0,0.0,0.0,0.0
W2P3,原始装机最大弃电场景,40.0,64.0,5,5:00-6:00,1.6301999999999999,9.62,0.5775759036144578,7.9898,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16
W2P3,原始装机最大弃电场景,40.0,64.0,6,6:00-7:00,2.5002,9.14,0.47998554216867473,6.639800000000001,0.0,0.0,0.0,0.0,0.0,0.0
W2P3,原始装机最大弃电场景,40.0,64.0,7,7:00-8:00,3.3701999999999996,8.92,0.40119036144578313,5.5498,0.0,0.0,0.0,0.0,0.0,0.0
W2P3,原始装机最大弃电场景,40.0,64.0,8,8:00-9:00,4.0098,7.948,0.3,4.15,0.0,1.582067810090848e-15,0.0,0.0,0.21179999999999863,0.0
W2P3,原始装机最大弃电场景,40.0,64.0,9,9:00-10:00,4.199999999999999,9.98,0.41783132530120487,5.780000000000001,0.0,0.0,0.0,0.0,0.0,0.0
